τριάριοι,triarii:0.455074092414
ἐκλάπτω,exbibo:0.773070869068,interbibo:0.762644177085
ὀρειβάτης,oreoselinon:0.349397229154
ὑπερδεής,terriloquus:0.206024238156
πυρσογενής,ignigenus:0.900524315355,ignitabulum:0.613446914033
τρύω,detero:0.280591170975
ἀνερυθριάω,incipisso:0.230000190264
πάνδυρτος,quiritatus:0.435926442465
ἀδιάφθορος,incorruptibilis:0.391127665394
μελίτειον,melicratum:0.844005642487
οἰνομανής,lorea:0.36913039073
ὀξυθυμίας,compressor:0.411077349243
ἀρτιγένειος,barbitium:0.571499817069
ἐξακρίζω,alicula:0.18403799025
φιλοπονέω,redamo:0.303988177433
παραδειπνέομαι,cenula:0.418145357303
δικίδιον,expertio:0.534657314849
οἰκίδιος,oeconomicus:0.477615841594
ἐπίλησις,oblitterus:0.405255559384
ἀφιλότιμος,deliquus:0.218117512632
ἰοδόκος,toxicum:0.568066278865
σηκός,oliua:0.199869573344
ἔρεισις,caelifer:0.20333036937
πέλωρ,prodigium:0.635976232686
σηκόω,compendo:0.8796851953,trutino:0.567841719494
ἀναπιδύω,euergo:0.503115856076
ἁβρότιμος,manupretiosus:0.391263855971
ἐγρηγορτί,noctuuigilus:0.449021604104
χρυσόβωλος,aurosus:0.512293743295
ἀκτέα,sambucus:0.172488031471
εἶα,ergo:0.350820062384
προμηθικῶς,cautim:0.449411772751
ἀνηλεής,miseramen:0.257562779283
πίων,opimus:0.300717084793
δινεύω,uertigino:0.424185439395
οἰκίδιον,domuncula:0.654701600873
ἐξυπτιάζω,recello:0.560777885579,retroago:0.527687178149
πολυκαρπία,myxum:0.462679719739
ἀμφάδιος,publicitus:0.481309140993
ὦμος,umerus:0.4556367656
συβώτης,sybotes:0.810575613289
ἑλικοειδής,strombus:0.292399037662
ἀπόβλητος,interluceo:0.293807269195
πεισίβροτος,suasus:0.323928533969
λεπτός,tenuis:0.40335034835
εὐδιάφθαρτος,agitabilis:0.300466633736
δράγμα,farratus:0.276757557458
ἀκτήμων,perpauper:0.416537123545
παιδικός,puerilis:0.181471188015
ἐκτοπισμός,commigratio:0.438520022632
κυνάγχης,catulinus:0.423587742974
παιδολέτωρ,interfectio:0.507696922439
κληρωτής,ardea:0.171756510618
συμπατέω,conculco:0.576337459308,proculco:0.514749995686
ἐπίκτησις,lucrio:0.270257050234
πολύσιτος,herbilis:0.309185744783
ἀράχνη,aranea:0.391850179172
ἀπόθραυσμα,inabruptus:0.372692129369
σπουδογέλοιος,reludo:0.204918081999
ἐκτόπισις,exportatio:0.264090914371
συνεθέλω,optatio:0.329923573069
πλανητικός,semetra:0.17960560225
κατάληψις,possessio:0.310512154978
δισύπατος,duplicato:0.401085439022
οἰστρώδης,exsaeuio:0.329070461348
φερτός,patibilis:0.274274554209
στεφανηπλοκέω,scirpo:0.349027855685
συνεπιβοηθέω,iuuamen:0.316147598573
ἐπιπείθομαι,obsecundo:0.249090521482
φῦκος,ulua:0.327903984973
καναχός,soniuius:0.920573242316,sonax:0.689400286547
ἐξέτασις,inspectus:0.252142773454
τυχόντως,alearius:0.273564610502
ὀπάων,sectator:0.35925317682
ἀνανευστικῶς,monstratio:0.404503200372
αὐγάζω,affulgeo:0.256494241459
ἐκνέω,enato:0.592855973077
πεντηκοντόργυιος,quinquagenarius:0.299490075967
προσπέμπω,missito:0.673566625459,euergo:0.670948995874
εὐάερος,pneumaticus:0.332619064581
παραλειπτός,transmeabilis:0.374952283688
αἰθρηγενής,aethra:0.450054661436
ἀντιφιλοτιμέομαι,zelotypia:0.354635620395
νέμησις,territorium:0.270736341862
ἐξέλασις,expulsio:0.592308260132
ἐπιστολή,nuntius:0.203015280596
μονότεκνος,soligena:0.279755396502
ἀνανέω,reuenio:0.359001981706
δικαιοσύνη,iustitia:0.418291489391
ὀξύχειρ,impromptus:0.346233345858
μαλακότης,lenitudo:0.452036953896
παραπόδιος,septempedalis:0.258240037556
σαρισοφόρος,parmatus:0.405197512313
ὄνυξ,ungula:0.299133491833
ἑξηκονταταλαντία,sexagenarius:0.467102498582
πτώσσω,aufugio:0.343184362598
φιλοκλέαρχος,amiculus:0.442968685538
εἰκάζω,imago:0.212548403766
πολιός,anus:0.237972197565
ἄλεκτος,immemorabilis:0.318656602617
ἀτρέκεια,explorate:0.315499535629
πολιόω,deuerto:0.175647816233
παρατρίβω,infrico:0.624322381792,effrico:0.529350467068
κάρος,caros:0.481880263242
δίπορος,uiarius:0.370562795296
παλιλλογία,recapitulatio:0.368776890756
ἔναυλος,sucidus:0.251881012779
νεῦσις,lapsio:0.534513042582
ἑτεροῖος,carptim:0.231483078908
παλαίστρα,palaestra:0.70055893392,condiscipulus:0.56968993802
στροφοδινέομαι,regyro:0.433744244633
βόρειος,aquilonius:0.521956823232
νήστης,ieiuniosus:0.327781861903
διαφθείρω,corrumpo:0.271973030926
προεξερευνητής,emissicius:0.310984773706
ἐριδαίνω,alterco:0.540663874047
παράσπονδος,ruptor:0.333324437634
ἀντιμέτωπος,praeuincio:0.249342125723
ἐξανεμόω,ornithias:0.48966083645
βαθυπλόκαμος,capillitium:0.573215480276,praecrassus:0.493989381636
ἀνίσωσις,imparilitas:0.341217102712
παιδευτός,educatio:0.37339629782
συνδιαγιγνώσκω,insimul:0.305458408748
ἀποστοματίζω,addoceo:0.271906365881
θυάω,sulcus:0.299113241154
πύγμαχος,pugillatorius:0.453002613793
σχάσις,immissio:0.296333813144
ἀμπελικός,uitineus:0.36128750531
ἀθανατίζω,ambrosius:0.293577729459
σκυτάλη,caduceum:0.249715398019
ξάντης,lanarius:0.416808800007
παραδοτέος,gleucinus:0.38412634121
ἀλλόφυλος,syron:0.244090348964
ἐγκυκλέομαι,caueatus:0.348924487402
ἀνθυπάγω,offlecto:0.366214022875
ἐπιψοφέω,crepitaculum:0.49415226025
θεοσύλης,abactus:0.319431270984
παρακαταλέχομαι,confutuo:0.705717169942,supercubo:0.688542509678
ἱπποβότης,equinus:0.352811122694
χαλκεοκάρδιος,corcillum:0.385635957529
ἐρυσίπελας,erysipelas:0.515360968001
λεύκωμα,albitudo:0.324705625713
πολύρροδος,rhodinus:0.434753473732
νυκτεγερσία,euphrone:0.479058660867
χρονογραφία,supputatio:0.230381450762
μοναρχία,imperatus:0.182413275857
εἰρωνεία,dissimulamentum:0.225562583027
ταχύβουλος,percursio:0.306326140002
ὑπτιάζω,recello:0.301210053812
ῥύμμα,lotio:0.571066910019
ἀταλός,lactaris:0.342486431283
κορυζάω,enaris:0.319737341165
προβέβουλα,antehabeo:0.61713906555
κολαστήριος,emendatio:0.4888588917
ἐπιπηδάω,cyperos:0.480714411419
πατροκτόνος,patrisso:0.382408962668
περίσεμνος,perpauxillus:0.252800343471
ἐκφαιδρύνω,praefulgidus:0.388568863862
ὑποβαίνω,subiecto:0.356007853943
σύνθεμα,concrementum:0.393943555501
πολύγωνος,polygonum:0.564878304368
τοξοφόρος,arcuo:0.558255066266,arcuatim:0.494939203416
ἐπιδώτης,largificus:0.961948861794
ἀνεπίγραφος,aelurus:0.243716051896
ἀναπέτομαι,musca:0.607516934423,deuolo:0.541178031234
ἑκασταχόθεν,circumquaque:0.689420188864,quoquouersus:0.522606271596
διαπίνω,sorbitium:0.545584577977,exbibo:0.534775619757
τέμενος,glaeba:0.198060036803
μεταχωρέω,beto:0.346192310068
ἅλυσις,tores:0.342966702809
ἀφεστήξω,absento:0.41327841694
μέρμις,tortum:0.463644069777
ἀπραγμοσύνη,dilectio:0.421528243345
ψίθυρος,susurratio:0.380171332724
θεόδμητος,peraedificatus:0.279193794091
διαχειροτονία,cooptatio:0.812350735904,electio:0.544873395348
αἰάζω,ingemo:0.42039303336
κλαῦμα,ploratus:0.435956794209
εἰλαπινάζω,lectisternium:0.292145320921
εὐθυντήρ,emendator:0.426161850251
πίστευσις,credulus:0.353793191018
ὑψίνοος,micropsychus:0.384379398864
ἄχυρον,apluda:0.501520280535
στρατολογέω,superuentores:0.208083084642
οἰκόπεδον,domuncula:0.316232972343
κοράσιον,puellula:0.717728558608,infantula:0.629048603037
ἐμπολάω,commercor:0.34179830753
βλασφημία,locutus:0.274922085556
ὁδωτός,transmeabilis:0.192051160137
πομπεύω,translatus:0.360584178772
πομπεύς,desponsor:0.301204063215
ἀποκομίζω,asporto:0.6596114349,degero:0.647299416119
εὐήχητος,multisonus:0.931687197589
περιχώομαι,periratus:0.471523761532
συναλείφω,synaloephe:0.232095132942
κορύνη,upilio:0.25751155696
σπουδαστός,donabilis:0.408908716607
ἀπορραντήριον,aspersio:0.384017504736
κακορροθέω,remaledico:0.56079498715
ἁβρόβιος,chersinus:0.256300743846
θελημός,perbenigne:0.503431479479
ἄγλισχρος,uiscidus:0.389167326989
ἐπικάρπιος,myxum:0.33046158656
εἰσέρχομαι,subeo:0.389540180388
ἀνέκλειπτος,incessabilis:0.271052621509
παρεισάγω,subintroduco:0.454661118949
ἐπικαταρριπτέω,cernulo:0.677624883209
ἀντίκειμαι,aduersor:0.341413719098
κακονύμφιον,maliloquium:0.293966733147
ἀβαρής,illuminus:0.401632572282
ἔπαλξις,defensa:0.467925370951
ἐξαργυρόω,nummulus:0.443722848737
δαυλός,percrassus:0.331171575945
κεδρωτός,cedrinus:0.574395943976,cedreus:0.518985952283
ἐκπυρόω,cremo:0.379692095748
καινοτομία,nouicius:0.180755941895
νηκερδής,lucrifuga:0.356528323239
ἐνεχυράζω,oppignero:0.485411020467
ἀνοικισμός,recreatio:0.588910681918
διμέτωπος,dupondiarius:0.171903477875
ἀγανοβλέφαρος,unoculus:0.477007476697
δημοβόρος,uorator:0.642886337367
φᾶσις,fluuiatilis:0.457145229004
ἀμφιφορεύς,urnula:0.452174326051
πρόοδος,progressio:0.460498016234
ἔμμηνος,menstruus:0.502194436757,menstrualis:0.473217138425
κωτίλος,stultiloquentia:0.392132500671
διαπρέπω,inorno:0.34086236185
δάνος,charisma:0.565082050691
φιλογυμναστής,progymnastes:0.38404613025
εὐηκοέω,prothyme:0.18555924942
προσάσσω,praemitto:0.289465594211
κηρυκεύω,ceryx:0.638758324827
μισοβασιλεύς,osor:0.607155919383
ἀφημερεύω,hemeresios:0.427261334713
ἁμαξίτης,ploxemum:0.540804194253,plostellum:0.489874888884
ἀντιβολία,precamen:0.672257229141,oratum:0.565525087862
ὁμοστιχάω,prodeambulo:0.569609649569
ὁποσάκις,quotlibet:0.637158345934,quotcumque:0.519289405349
κυνόδους,dentilegus:0.249476778933
δηρόβιος,iampridem:0.176103371679
καταβοάω,conclamo:0.261772727531
ἀνάσκητος,inexercitatus:0.567511009436
ἐρινεώδης,caprificus:0.412821305826
ὕπωχρος,obluridus:0.763305493859,giluus:0.64554211402
στρωματόδεσμον,lura:0.34000602882
κωδωνοφαλαρόπωλος,tinnitus:0.33388773748
ἐκτάραξις,commotus:0.48965182289
συγκολλητής,excaecator:0.214194953838
πρόστροπος,exorator:0.273338256565
τρύχω,contabefacio:0.39597040536
πανδήμιος,omnigenus:0.401468747192
εὐδαιμόνημα,frustum:0.228698334001
συνθιασώτης,sociennus:0.79988521417,concubitor:0.490894952283
ἄναλτος,horaeus:0.306798723822
γλωσσός,largiloquus:0.298779964941
δοχή,exceptaculum:0.506775493466
γνωμοτυπέω,accudo:0.263131887667
ξενηλατέω,expectoro:0.182245566957
ὕσπληξ,transenna:0.288262517584
ἀνάστατος,assurgo:0.186604776864
ἀντιγραφεύς,tentus:0.366583807888
κονιστικός,allubentia:0.332978584908
ἀνατλῆναι,pertolero:0.374779867311
ἴπτομαι,compresso:0.455573552326
συμπληρόω,suppleo:0.370438323234
βαρυάλγητος,perodiosus:0.576722401934
μελεόφρων,micropsychus:0.507439566207
ἐλεητικός,misericors:0.262024742101
οὐράνη,matella:0.733072957016,matula:0.4829042595
ποντοπορεύω,transfreto:0.530245144069,pelagicus:0.513752349138
ἁλιπτοίητος,pelagicus:0.264449417345
διόλλυμι,interbito:0.323100144487
καταχρυσόω,inauro:0.457334718159
κλητήρ,testificatio:0.214916478233
μυστήριον,mysterium:0.450474753775
ἐπιχώρησις,indultus:0.447867886741
ἕλειος,hibiscum:0.465802746236
αὐξώ,incrementulum:0.450044569505
αἰσχροκέρδεια,dilectio:0.329374401586
λωτοτρόφος,lotometra:0.48858094253
χερσόω,exsicco:0.530098818876,inaresco:0.481998152158
ἐξάκεσις,pergnarus:0.280736561299
ἀφανισμός,internecio:0.367355290424
ἕκτος,sextus:0.688680393389,sextarius:0.565133174859
δυσαυλία,deuersoriolum:0.442169665489
αὐτόγυος,cenotaphium:0.29499094915
κυριακός,eucharistia:0.497750599293
καπνώδης,infuscus:0.467214277004
ἁπλοϊκός,persimplex:0.710947547669
φορμός,sporta:0.397530660049
ἀναστατέω,progesto:0.35601665402
εὔφυλλος,foliaceus:0.688759698815,foliosus:0.6271231085
κυλίω,subuoluo:0.625532779356,uoluto:0.58071343445
δυσάγγελος,angarius:0.504677634375
ἀνθαμιλλάομαι,stadiatus:0.254530331253
πέρσης,supo:0.381014099697
μιαίνω,obsoleto:0.418674412639
κεραμικός,figularis:0.583887527946
φιλόμαχος,perpugnax:0.541252179515,bellatorius:0.490806623094
δειπνοποιέω,inceno:0.556320596646,cenito:0.545183728377
λεσχηνόριος,tutorius:0.373349346839
λάβιον,manubriolum:0.634845409831
σφυρόομαι,superhabeo:0.196146283821
καταντιβολέω,exobsecro:0.932147941134
ἐκδίδαγμα,opificium:0.580980342136,opusculum:0.496356591024
ἐπισαλπίζω,tubula:0.415737637618
σκωλήκιον,rhagion:0.757341287498,araneola:0.728066902144
ἄκριτος,incerto:0.192424019504
κωδώνιον,commaritus:0.347676460921
ἐπιλογίζομαι,ratiocinor:0.256010366949
ὀνίσκος,ergata:0.257923625556
αὖ,iterum:0.490607493455
αἰκάλλω,lenocinor:0.289542996757
ἄμφωτος,diota:0.619516339572
ἀφιλοτιμία,inopiosus:0.443846284294
ἀγέλαστος,iniunctus:0.330819961139
ἀφεύω,suburo:0.327547008087
δόναξ,canna:0.421332739555
κνισωτός,fumifer:0.390167225657
προσβλασφημέω,mufrius:0.309626705524
κυναμολγοί,catulinus:0.386799867169
συνεκστρατεύω,uniuersaliter:0.196521313658
λιγυρός,flexibilis:0.281948466439
μεταγιγνώσκω,consipio:0.326270360775
ὑποδειμαίνω,opertaneus:0.431110884631
σπιλόω,immaculo:0.461359716783
προσδιηγέομαι,denarro:0.316903481773
δεινολογέομαι,interuocaliter:0.670227191537
ἄνιπτος,lauandaria:0.341226531964
ἀνεπιστήμων,inexercitatus:0.342453648361
ἀνδροκτασία,homicidium:0.314476783152
διαστίζω,internosco:0.318730037432
ἐνθεάζω,fatuor:0.376728455134
μεταβλητικός,cambio:0.43413490028
σιτονόμος,alebria:0.3415178464
προαναισχυντέω,subimpudens:0.325405017498
ἔκθλιψις,maceries:0.355262209391
νηπενθής,lamentabilis:0.517593505069
ἐπαφρόδιτος,aba:0.187075769391
ἐποποιικός,epicus:0.519773437065
πτωκάς,inaudax:0.420989369048
πυρρώνειος,plumatus:0.317914500293
κίμωλος,nacca:0.430982328406
εὔμιτρος,perpulcher:0.578515751029,philocalia:0.557927844972
στέμμα,arbusto:0.172460995307
παρήλιος,solifer:0.406380043374
ἀειγενής,sempiternus:0.264859555586
ἀεί,semper:0.255191489549
προκατοικέω,progesto:0.275686196124
ἰσχνόω,exsicco:0.358331652475
εἰσεπιδημέω,aduecticius:0.388604639895
συνδιακυβερνάω,moderamentum:0.2579074007
ἄδαιτος,pappo:0.240907867988
μεγαλώνυμος,gloriola:0.343458740033
ἐγκατατέμνω,distrunco:0.626729491275
νομή,distributio:0.267248198945
ὀροφίας,subtegulaneus:0.302741709838
ῥόδεος,roseus:0.74339606773,rosarius:0.575953629372
νάρθηξ,ferulaceus:0.412690061695
φερέοικος,portitorium:0.335941349463
μοχθηρία,improbitas:0.302533515961
ἐλασία,equitatio:0.528147750124
αὐτόδηλος,diluceo:0.41904695023
ὅρμος,monile:0.20567542835
τοιουτότροπος,istiusmodi:0.7302211234,eiusmodi:0.653580388555
δεκάπηχυς,decemscalmus:0.360289322825
ἀφῆλιξ,infantulus:0.378724857033
ἐπιπληκτικός,increpatio:0.583643737481
σφαγή,plago:0.510899632002
ὑψίδειρος,tripolium:0.3959083825
βραγχώδης,branchos:0.510146783812
χαλκευτικός,excusor:0.373455076892
μειόω,imminuo:0.408577073852
οἶκος,domus:0.32551760522
ἔκβλητος,proiecticius:0.324559016021
ἀντεφευρίσκω,adinuenio:0.499711595738
παράκλητος,boethus:0.319793802103
δολιόω,prodicius:0.479664779887
μετεωρίζω,sublimo:0.371916932376
ὁμόκλινος,accubitio:0.611932527945,accubitus:0.55181232152
διαπλήσσω,inspico:0.702618969102,frusto:0.512017938488
καταβεβαιόομαι,truso:0.299534188659
πυρόεις,ignifer:0.434509058825
ἐθειράζω,criniger:0.631659289613,capillitium:0.550277999077
πτῆξις,reformidatio:0.511769701143
ἀριστητής,excaecator:0.282351456858
μεσοπαγής,meditullium:0.598277978642,medianus:0.528671685068
μυθικός,glutinator:0.21398628365
ἐγγυθήκη,superasto:0.31466600668
ὑπέρμαχος,propugnator:0.480802521307
προχόω,struix:0.687369051407,structus:0.664221779798
εὔπαις,illiberis:0.228958216886
κατασκευάζω,instruo:0.33098730433
χιονόβοσκος,ningit:0.316082592975
δακτυλοδεικτέω,punctim:0.550816363503,cuspidatim:0.516600461835
συμπορεύομαι,peruio:0.362029007663
ἀναλλοίωτος,inconuertibilis:0.548378960973
τριψημερέω,hemeresios:0.596468868554,indies:0.543577176517
διαυγέω,epicrocum:0.304066381804
αὐτόδεκα,decemscalmus:0.487355775104
ἐπιμεταφέρω,demutatio:0.286040662905
προγαργαλίζω,titillatus:0.633071255133,titillus:0.588329799648
παρηόριος,latusculum:0.69650034487,altrouorsum:0.53300018263
ἀποθρῴσκω,subsilio:0.483179258064
προέχω,praetendo:0.276493385281
ἀπήορος,propendulus:0.340889357486
ἀρόω,arater:0.234436314957
ἀποκλεισμός,phylaca:0.585102912078
λιγύς,sereno:0.4840981922
ἀνεγείρω,exsuscito:0.417829718228
μνήμη,memoria:0.438254402698
εὐκαιρέω,otiolum:0.368062852625
συγγραφεύς,scriptor:0.306632571093
κουρητισμός,saltabundus:0.373651662836
μνήστωρ,inoblitus:0.576482164218
ἀποσκυλεύω,dispolio:0.31486797735
ποτίζω,madefacto:0.472950088208
νάφθα,naphtha:0.962505005466
πενθερός,socer:0.557884941944,legalis:0.491017406342
προπαιδεία,methodus:0.279395651693
ἀπορνιθόομαι,trygona:0.667341690593,phoenicurus:0.637045582332
ἀχλύς,nebula:0.35609156645
γευστός,sectiuus:0.483472510918
φιλορώμαιος,confarreatio:0.267539266489
ἐγκληματικός,litigiosus:0.236610299113
ἀχλύω,contenebro:0.708903799118,tenebro:0.628595404103
ἐξοίκησις,demigratio:0.661650983877
δεύτερος,secundus:0.483917467093
κηδεμονία,prospicus:0.284457099697
βίβλινος,papyraceus:0.46875163747
νεφέλη,nubes:0.474125792914
πολυκίνητος,suffertus:0.17999422882
ἔνθαπερ,quanam:0.486913511158
βιασμός,rapulum:0.485950844181
σῶκος,ualentulus:0.664160781902
εἰσποιέω,adoptiuus:0.273194014122
ἐπιληκέω,applaudo:0.303032490257
σιγηλός,obticeo:0.483979266105
ξηρός,siccus:0.671714841822,aridus:0.591476049738
ἀτεκνόω,illiberis:0.400669032898
προτέρημα,opportunitas:0.208564119893
περιλαμβάνω,comprehendo:0.239543698556
ἀθανατόω,ambrosius:0.315376418951
ἐπισκύνιον,seueritudo:0.376021991847
ὑποκίνδυνος,subumidus:0.389450672953
μίασμα,immaculo:0.19805499783
πρόσφαγμα,agonia:0.453100054704
ἀκέστωρ,saluator:0.451407637195
πρηστήρ,lysimachos:0.200355292836
ὁμοπαθής,insimul:0.336652614797
ἐμπολιορκέω,circumsido:0.438470460555
καταστένω,congemo:0.5609677868,suspiro:0.479798239076
σπήλαιον,antrum:0.284075989464
ἑλλός,ceruinus:0.457453405993
ἀπανίστημι,abito:0.67406879488
κατάχαλκος,aeramentum:0.454893486615
λασιαύχην,uillosus:0.469399766226
σταλαγμός,stillaticius:0.629580437181
πλίκιον,placenta:0.752941431192,gratilla:0.657116286268
λεχώ,puerperus:0.422330028304
εὔκολος,parabilis:0.207273044499
ἑτοῖμος,parito:0.355619755917
ἀνάρρηξις,fluctifragus:0.364966962794
ἁβροβάτης,gressio:0.363937278074
προσχωρέω,admeo:0.396440470976
ἀπαρτάω,dependeo:0.359338452044
κυκνόπτερος,olorifer:0.458565386608
δύσφρων,subtristis:0.343007044865
παιδογονία,illiberis:0.361649709987
προσεκτίλλω,subuello:0.458157063177
εἰσπλέω,uelifico:0.511520938589
πατρόνομος,consentium:0.450070160231
ἄφιξις,aduentus:0.452162486079
βίσων,bison:0.361535828966
προσσκώπτω,reludo:0.315518342386
ὕδραυλις,hydraulicus:0.753476356701,hydraulus:0.485664737629
οἰκειωτικός,accommodatio:0.279917987181
προδιακινέω,praeoccido:0.411679046071
ἐπιδιαλλάσσω,reconciliatio:0.338757636696
ἐπήκοος,auritus:0.322486896396
ὑπεράγω,antepolleo:0.261789430409
εὐεπίφορος,perductio:0.323791086073
λιποτάκτης,perfuga:0.756605269891,defuga:0.710774059513
φιλοφόρμιγξ,comitabilis:0.321370534807
λάμψις,nitefacio:0.851681576846,praelucidus:0.508075911003
βλέψις,cernentia:0.394117570928
οὐρανία,plenilunium:0.285542113346
ἀπάντησις,contradictio:0.352091327542
προανακόπτω,ancipes:0.57723212155
συνεισέρχομαι,introcedo:0.352300245159
ἀλφηστής,piscarius:0.185568707684
ἀπομονόομαι,sinistrorsus:0.357638416906
φλογερός,flammeus:0.597774729491,flammidus:0.542724452048
δραγμός,deplexus:0.57891668453
χειρόω,domo:0.288036889681
ἐγκαθίστημι,constabilio:0.24476772609
συγκατέχω,congialis:0.192678284841
παράλλαξις,uicissitudo:0.249496762653
ἀργυρόπεζα,monopodius:0.393476881286
πεντάπλεθρος,quintarius:0.533317754265
διάλευκος,peralbus:0.526173482955,percandidus:0.49588634955
ἀναβλύζω,prester:0.374037140209
μονόφθαλμος,desponsor:0.539620762309
δυσκατάπαυστος,perdurus:0.311500733937
θηλάζω,sugo:0.675187207261,mammo:0.6614406941
ἐξόρκωσις,exorcismus:0.673303347108
τρίγωνος,trigonus:0.2456587354
σφός,suus:0.269583493403
χωνευτός,fusilis:0.733740540992
βασιλικός,regius:0.42332463768
διαγίγνομαι,conuerso:0.277083154384
ἔγκωπον,interscalmium:0.410867507169
ζυγόω,subiugius:0.329188487947
ἐνδυναμόω,uitalitas:0.235827621273
ἀτρεμής,inagitatus:0.400582602481
ἀριστοποιέω,ientaculum:0.84330382991,prandeo:0.675104010728
μόσχειος,damalio:0.753202890937,uitulinus:0.636425206321
προσχώννυμι,accumulo:0.294925754047
προευκρινέω,concelo:0.347530167494
ὑπερχειρία,procuratrix:0.569449971319
δοιάς,duitas:0.570663242006
συντήκω,tabeo:0.536412491418
παχύνω,pinguesco:0.397233321812
κακεντρεχής,actualis:0.329615580852
ἐχέθυμος,moderanter:0.356485513859
ἔμβιος,ruratio:0.292904607961
ἀμελής,incuriosus:0.527902632008
μόρον,morum:0.671304873619
ὀρσιγύναικα,concitatrix:0.398627083977
ἀποκαλύπτω,reuelo:0.372104497809
ἀποδρύπτω,accipitro:0.479429208142
δικολογέω,moramentum:0.32456086646
πλαστή,maceria:0.563358275114
ἰδιοπραγία,peculiolum:0.426197513587
ἱπποτροφέω,equinus:0.531649863884
κλαυθμών,lacrimatio:0.780394085677,defletio:0.637327155013
ἐπικαταλαμβάνω,internecto:0.2984260736
ὁμοδέμνιος,lectualis:0.392753731109
ἰχθυοτροφεῖον,piscina:0.579550896493,lelepris:0.489645803356
δυσανάπλους,uelifico:0.408598362801
λοίσθιος,finalitas:0.56265080122,perenno:0.558794945002
εὔζωμον,mictus:0.194458236483
σφόνδυλος,spondylus:0.187497696556
ταινιόω,mitella:0.462246500821
ταφεύς,fossor:0.300121832118
μεγαλαυχία,laetatio:0.25802424507
χλοάω,pallesco:0.654266463131,palleo:0.628202198085
ἵνα,quo:0.426110127877
δοκάζω,opperior:0.368788163279
μυγμός,occano:0.285704162569
παρισόω,exaequo:0.492302690364
ἐξαναγκάζω,aspello:0.247014901499
σιφωνίζω,diabetes:0.735166478951
ἀκράτιστος,ientaculum:0.393604391396
ὠμόδροπος,lectualis:0.232847126124
δυσωδία,oboleo:0.568174042116,olfactus:0.5207388679
μυκηθμός,mugitus:0.58598857265,demugitus:0.485192758733
ῥέκτης,actualis:0.407404545064
σακχυφάντης,compressor:0.298999804107
ζειά,dracontion:0.421065670831
ἄνωγα,imperatus:0.293498455679
ἐπιτευκτικός,cantio:0.211822898308
ἧσσα,detrimentum:0.17125889144
στόχασμα,rhomphaea:0.555103808948
πηλαμύς,colias:0.336606730615
ἐκπήδησις,supersiliens:0.698492922088,exsultim:0.656285462254
σύγκωμος,concubitor:0.26600332334
θύρασι,thyroma:0.505225858704,ostiolum:0.47913173051
ἐνιαυτός,annus:0.658530028713
χρεμετισμός,tonitruo:0.847451231164,protono:0.839768156398
πρέπω,luceo:0.199488141893
πτερυγοποίκιλος,dipteros:0.729987502677,bruchus:0.501201827501
ἐκτείνω,porrigo:0.476687179707
ἡμικοτύλιον,semihomo:0.84170797983,sesquiiugerum:0.775891901392
φαεσίμβροτος,nitefacio:0.364660148882
αὐτόγνωτος,met:0.326850008146
γηρυόνης,poematium:0.275146023671
περιαγωγή,rotatus:0.437416245021
ἐπιχειροτονέω,constabilio:0.429036395716
ἐγκύπτω,conquinisco:0.226639511742
χειρομάχα,temperaculum:0.428080288893
δυστοκεύς,cunctiparens:0.457538547409
τηλέπορος,illatenus:0.556777774335
περιουσία,quaestus:0.261000150281
πειστικός,persuasibilis:0.504263611801,suadus:0.502493606708
κολόκυμα,extumeo:0.346385478164
ὄλισβος,penis:0.282238631855
κελτιστί,usce:0.393064739079
τρομός,praetrepidus:0.400810863058
χάρμη,proeliaris:0.436897887146
περίορθρος,sublucanus:0.653823546301,matutinalis:0.523256312231
ἐρείπω,collabor:0.441242465647
μεγαλοφρονέω,altisonus:0.313043144676
ἐφολκίς,appendicula:0.503008513035
ὀριγνάομαι,scopos:0.312970081392
τέγξις,perfusio:0.649031145627
αὐτοαγαθόν,perbonus:0.253345551543
ὑποπέρδομαι,suppedo:0.559131737241
ἀμφίζευκτος,displuuiata:0.299430053484
σπυράς,stercoro:0.542102572312
ἀπειλητήρ,alazon:0.443570649315
διαίτημα,alimonia:0.240843546352
ὑμενόπτερος,penniger:0.302414463654
δεσποτεία,nauarchus:0.442266871534
ἀορτήρ,struppus:0.403959915053
παραπήγνυμι,accresco:0.200799683283
χαναναῖος,cybaeus:0.399717020908
κατακηρύσσω,praecia:0.442735071259
προσλυσσάω,resaeuio:0.484448172819
καταπάομαι,lucrifuga:0.450037658051
σκοπός,destino:0.183161256184
παρανικάω,maliloquium:0.203469992256
χρυσοστέφανος,aurosus:0.457985681891
μεσοπορέω,sesquiobolus:0.544911254684,semihomo:0.543836925521
ἐννεόργυιος,nouenus:0.380846618758
οὐρεύς,mularis:0.384411009544
διατήκω,tabeo:0.507289203204
κενταυρίς,oricilla:0.20443669546
προηγεμών,commeator:0.266351970996
ἐγχεσίμωρος,quiris:0.419095109363
ἀποστίζω,linealis:0.53698333451
κυανόπεζα,tripedalis:0.651573930229,septempedalis:0.581534758801
πρωτόλεια,primulus:0.370446996545
κατοκώχιμος,fiduciarius:0.27245075688
ὑπερπετής,altiuolus:0.554381629284,altiuolans:0.549089898441
σησαμοειδής,sesaminus:0.395338631676
ἀλλοτριόχωρος,tat:0.528011238326
εὔμητις,sapidus:0.584191674386
